scheme_code,scheme_name,isin,isin2,amc,group,category_sub,category,scheme_type,plan,option,first_date,last_date,is_active,is_stale,txic_code
125354,Axis Small Cap Fund - Direct Plan - Growth,INF846K01K35,,Axis Mutual Fund,Equity Scheme,Small Cap Fund,Equity Scheme - Small Cap Fund,Open Ended Schemes,Direct,Growth,2013-12-05,2026-08-18,True,False,AXOSCDG
101762,HDFC Flexi Cap Fund - Growth Plan,INF179K01608,,HDFC Mutual Fund,Equity Scheme,Flexi Cap Fund,Equity Scheme - Flexi Cap Fund,Open Ended Schemes,Other,Growth,2006-04-03,2026-08-18,True,False,HDOFXUG
101764,HDFC Value Fund - Growth Plan,INF179K01426,,HDFC Mutual Fund,Equity Scheme,Value Fund,Equity Scheme - Value Fund,Open Ended Schemes,Other,Growth,2006-04-03,2026-08-18,True,False,HDOVLUG
108466,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund)  - Growth,INF109K01BL4,,ICICI Prudential Mutual Fund,Equity Scheme,Large Cap Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,Other,Growth,2008-05-26,2026-08-18,True,False,ICOLCUG1
120166,Kotak Flexicap Fund - Growth - Direct,INF174K01LS2,,Kotak Mahindra Mutual Fund,Equity Scheme,Flexi Cap Fund,Equity Scheme - Flexi Cap Fund,Open Ended Schemes,Direct,Growth,2013-01-04,2026-08-18,True,False,KMOFXDG
103234,Kotak Large & Midcap Fund - Growth-Regular,INF174K01187,,Kotak Mahindra Mutual Fund,Equity Scheme,Large & Mid Cap Fund,Equity Scheme - Large & Mid Cap Fund,Open Ended Schemes,Regular,Growth,2006-04-03,2026-08-18,True,False,KMOLMRG
119775,Kotak Midcap Fund - Direct Plan - Growth,INF174K01LT0,,Kotak Mahindra Mutual Fund,Equity Scheme,Mid Cap Fund,Equity Scheme - Mid Cap Fund,Open Ended Schemes,Direct,Growth,2013-01-03,2026-08-18,True,False,KMOMCDG
120164,Kotak-Small Cap Fund - Growth - Direct,INF174K01KT2,,Kotak Mahindra Mutual Fund,Equity Scheme,Small Cap Fund,Equity Scheme - Small Cap Fund,Open Ended Schemes,Direct,Growth,2013-01-02,2026-08-18,True,False,KMOSCDG
135781,Mirae Asset ELSS Tax Saver Fund - Direct Plan - Growth,INF769K01DM9,,Mirae Asset Mutual Fund,Equity Scheme,ELSS- Tax Saver Fund,Equity Schemes - ELSS- Tax Saver Fund,Open Ended Schemes,Direct,Growth,2015-12-29,2026-08-18,True,False,MAOELDG
125307,PGIM India Midcap Fund - Direct Plan - Growth Option,INF663L01DV3,,PGIM India Mutual Fund,Equity Scheme,Mid Cap Fund,Equity Scheme - Mid Cap Fund,Open Ended Schemes,Direct,Growth,2013-12-05,2026-08-18,True,False,PGOMCDG
147481,Parag Parikh ELSS Tax Saver Fund- Direct Growth,INF879O01100,,PPFAS Mutual Fund,Equity Scheme,ELSS,Equity Scheme - ELSS,Open Ended Schemes,Direct,Growth,2019-07-26,2026-08-18,True,False,PPOELDG
122639,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,INF879O01027,,PPFAS Mutual Fund,Equity Scheme,Flexi Cap Fund,Equity Scheme - Flexi Cap Fund,Open Ended Schemes,Direct,Growth,2013-05-28,2026-08-18,True,False,PPOFXDG
120847,quant ELSS Tax Saver Fund - Growth Option - Direct Plan,INF966L01986,,quant Mutual Fund,Equity Scheme,ELSS,Equity Scheme - ELSS,Open Ended Schemes,Direct,Growth,2013-01-07,2026-08-18,True,False,QTOELDG
120843,quant Flexi Cap Fund - Growth Option-Direct Plan,INF966L01911,,quant Mutual Fund,Equity Scheme,Flexi Cap Fund,Equity Scheme - Flexi Cap Fund,Open Ended Schemes,Direct,Growth,2013-01-07,2026-08-18,True,False,QTOFXDG
120841,quant Mid Cap Fund - Growth Option - Direct Plan,INF966L01887,,quant Mutual Fund,Equity Scheme,Mid Cap Fund,Equity Scheme - Mid Cap Fund,Open Ended Schemes,Direct,Growth,2013-01-07,2026-08-18,True,False,QTOMCDG
120823,quant Multi Cap Fund-GROWTH OPTION-Direct Plan,INF966L01614,,quant Mutual Fund,Equity Scheme,Multi Cap Fund,Equity Scheme - Multi Cap Fund,Open Ended Schemes,Direct,Growth,2013-01-07,2026-08-18,True,False,QTOMUDG
120828,quant Small Cap Fund - Growth Option - Direct Plan,INF966L01689,,quant Mutual Fund,Equity Scheme,Small Cap Fund,Equity Scheme - Small Cap Fund,Open Ended Schemes,Direct,Growth,2013-01-07,2026-08-18,True,False,QTOSCDG
