isin,name,category,is_current_holding,notes
INF846K01K35,Axis Small Cap Fund - Direct Plan - Growth,Small Cap,true,
INF179K01608,HDFC Flexi Cap Fund - Growth Plan,Flexi Cap,true,
INF179K01426,HDFC Value Fund - Growth Plan,Value,true,
INF109K01BL4,ICICI Prudential Large Cap Fund - Growth,Large Cap,true,erstwhile Bluechip Fund
INF174K01LS2,Kotak Flexicap Fund - Direct Plan - Growth,Flexi Cap,true,
INF174K01187,Kotak Large & Midcap Fund - Regular Plan - Growth,Large & Mid Cap,true,regular plan legacy holding
INF174K01LT0,Kotak Midcap Fund - Direct Plan - Growth,Mid Cap,true,
INF174K01KT2,Kotak Small Cap Fund - Direct Plan - Growth,Small Cap,true,
INF769K01DM9,Mirae Asset ELSS Tax Saver Fund - Direct Plan - Growth,ELSS,true,3yr lock-in; fully unlocked
INF663L01DV3,PGIM India Midcap Fund - Direct Plan - Growth,Mid Cap,true,
INF879O01100,Parag Parikh ELSS Tax Saver Fund - Direct Plan - Growth,ELSS,true,3yr lock-in; partially locked
INF879O01027,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,Flexi Cap,true,destination fund in transition plan
INF966L01986,quant ELSS Tax Saver Fund - Direct Plan - Growth,ELSS,true,3yr lock-in; partially locked
INF966L01911,quant Flexi Cap Fund - Direct Plan - Growth,Flexi Cap,true,destination fund in transition plan
INF966L01887,quant Mid Cap Fund - Direct Plan - Growth,Mid Cap,true,
INF966L01614,quant Multi Cap Fund - Direct Plan - Growth,Multi Cap,true,
INF966L01689,quant Small Cap Fund - Direct Plan - Growth,Small Cap,true,
