goal,bucket,isin,name,category,weight
Retirement,very_aggressive,INF966L01689,quant Small Cap Fund - Direct Plan - Growth,Small Cap,0.3
Retirement,very_aggressive,INF879O01027,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,Flexi Cap,0.0212
Retirement,very_aggressive,INF846K01K35,Axis Small Cap Fund - Direct Plan - Growth,Small Cap,0.15
Retirement,very_aggressive,INF966L01887,quant Mid Cap Fund - Direct Plan - Growth,Mid Cap,0.1744
Retirement,very_aggressive,INF966L01911,quant Flexi Cap Fund - Direct Plan - Growth,Flexi Cap,0.1464
Retirement,very_aggressive,INF663L01DV3,PGIM India Midcap Fund - Direct Plan - Growth,Mid Cap,0.0276
Retirement,very_aggressive,INF966L01986,quant ELSS Tax Saver Fund - Direct Plan - Growth,ELSS,0.1804
Edu_B,aggressive,INF966L01689,quant Small Cap Fund - Direct Plan - Growth,Small Cap,0.3
Edu_B,aggressive,INF879O01027,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,Flexi Cap,0.3
Edu_B,aggressive,INF846K01K35,Axis Small Cap Fund - Direct Plan - Growth,Small Cap,0.1369
Edu_B,aggressive,INF966L01887,quant Mid Cap Fund - Direct Plan - Growth,Mid Cap,0.1183
Edu_B,aggressive,INF966L01911,quant Flexi Cap Fund - Direct Plan - Growth,Flexi Cap,0.0903
Edu_B,aggressive,INF879O01100,Parag Parikh ELSS Tax Saver Fund - Direct Plan - Growth,ELSS,0.0545
Marriage_HomeLoan,very_aggressive,INF966L01689,quant Small Cap Fund - Direct Plan - Growth,Small Cap,0.3
Marriage_HomeLoan,very_aggressive,INF879O01027,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,Flexi Cap,0.0212
Marriage_HomeLoan,very_aggressive,INF846K01K35,Axis Small Cap Fund - Direct Plan - Growth,Small Cap,0.15
Marriage_HomeLoan,very_aggressive,INF966L01887,quant Mid Cap Fund - Direct Plan - Growth,Mid Cap,0.1744
Marriage_HomeLoan,very_aggressive,INF966L01911,quant Flexi Cap Fund - Direct Plan - Growth,Flexi Cap,0.1464
Marriage_HomeLoan,very_aggressive,INF663L01DV3,PGIM India Midcap Fund - Direct Plan - Growth,Mid Cap,0.0276
Marriage_HomeLoan,very_aggressive,INF966L01986,quant ELSS Tax Saver Fund - Direct Plan - Growth,ELSS,0.1804
Stitch_Kutti,very_aggressive,INF966L01689,quant Small Cap Fund - Direct Plan - Growth,Small Cap,0.3
Stitch_Kutti,very_aggressive,INF879O01027,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,Flexi Cap,0.0212
Stitch_Kutti,very_aggressive,INF846K01K35,Axis Small Cap Fund - Direct Plan - Growth,Small Cap,0.15
Stitch_Kutti,very_aggressive,INF966L01887,quant Mid Cap Fund - Direct Plan - Growth,Mid Cap,0.1744
Stitch_Kutti,very_aggressive,INF966L01911,quant Flexi Cap Fund - Direct Plan - Growth,Flexi Cap,0.1464
Stitch_Kutti,very_aggressive,INF663L01DV3,PGIM India Midcap Fund - Direct Plan - Growth,Mid Cap,0.0276
Stitch_Kutti,very_aggressive,INF966L01986,quant ELSS Tax Saver Fund - Direct Plan - Growth,ELSS,0.1804
