composition,status,required_annual_return,comparison_horizon_years,observed_upper_return
INF174K01LT0|INF174K01LT0=1.0000,within_observed_terrain,0.0796141669863224,3,0.4827472049816095
INF846K01K35|INF846K01K35=1.0000,within_observed_terrain,0.0796141669863224,3,0.41270793671689865
INF879O01100|INF879O01100=1.0000,within_observed_terrain,0.0796141669863224,3,0.37512027168491935
INF966L01689|INF966L01689=1.0000,within_observed_terrain,0.0796141669863224,3,0.715869553988792
INF966L01986|INF966L01986=1.0000,within_observed_terrain,0.0796141669863224,3,0.558262300460258
"INF109K01BL4,INF879O01100|INF109K01BL4=0.0000,INF879O01100=1.0000",within_observed_terrain,0.0796141669863224,3,0.37512027168491935
"INF109K01BL4,INF879O01100|INF109K01BL4=0.0500,INF879O01100=0.9500",within_observed_terrain,0.0796141669863224,3,0.36830956750611255
"INF109K01BL4,INF879O01100|INF109K01BL4=0.1000,INF879O01100=0.9000",within_observed_terrain,0.0796141669863224,3,0.3628514515241479
"INF109K01BL4,INF879O01100|INF109K01BL4=0.1500,INF879O01100=0.8500",within_observed_terrain,0.0796141669863224,3,0.3583791237955345
"INF109K01BL4,INF879O01100|INF109K01BL4=0.2000,INF879O01100=0.8000",within_observed_terrain,0.0796141669863224,3,0.35464748921303335
"INF109K01BL4,INF879O01100|INF109K01BL4=0.2500,INF879O01100=0.7500",within_observed_terrain,0.0796141669863224,3,0.35148652318651785
"INF109K01BL4,INF879O01100|INF109K01BL4=0.3000,INF879O01100=0.7000",within_observed_terrain,0.0796141669863224,3,0.3487745624440326
"INF109K01BL4,INF879O01100|INF109K01BL4=0.3500,INF879O01100=0.6500",within_observed_terrain,0.0796141669863224,3,0.34642224567954716
"INF109K01BL4,INF879O01100|INF109K01BL4=0.4000,INF879O01100=0.6000",within_observed_terrain,0.0796141669863224,3,0.3443624570625068
"INF109K01BL4,INF879O01100|INF109K01BL4=0.4500,INF879O01100=0.5500",within_observed_terrain,0.0796141669863224,3,0.3425438076167966
"INF109K01BL4,INF879O01100|INF109K01BL4=0.5000,INF879O01100=0.5000",within_observed_terrain,0.0796141669863224,3,0.3409262824736843
"INF109K01BL4,INF879O01100|INF109K01BL4=0.5500,INF879O01100=0.4500",within_observed_terrain,0.0796141669863224,3,0.3394782582912754
"INF109K01BL4,INF879O01100|INF109K01BL4=0.6000,INF879O01100=0.4000",within_observed_terrain,0.0796141669863224,3,0.3381744126322592
"INF109K01BL4,INF879O01100|INF109K01BL4=0.6500,INF879O01100=0.3500",within_observed_terrain,0.0796141669863224,3,0.3369942288131065
"INF109K01BL4,INF879O01100|INF109K01BL4=0.7000,INF879O01100=0.3000",within_observed_terrain,0.0796141669863224,3,0.33592090728224977
"INF109K01BL4,INF879O01100|INF109K01BL4=0.7500,INF879O01100=0.2500",within_observed_terrain,0.0796141669863224,3,0.3349405601402138
"INF109K01BL4,INF879O01100|INF109K01BL4=0.8000,INF879O01100=0.2000",within_observed_terrain,0.0796141669863224,3,0.3340416064418483
"INF109K01BL4,INF879O01100|INF109K01BL4=0.8500,INF879O01100=0.1500",within_observed_terrain,0.0796141669863224,3,0.33321431221125963
"INF109K01BL4,INF879O01100|INF109K01BL4=0.9000,INF879O01100=0.1000",within_observed_terrain,0.0796141669863224,3,0.3324504363102734
"INF109K01BL4,INF879O01100|INF109K01BL4=0.9500,INF879O01100=0.0500",within_observed_terrain,0.0796141669863224,3,0.3317429547874653
"INF109K01BL4,INF879O01100|INF109K01BL4=1.0000,INF879O01100=0.0000",within_observed_terrain,0.0796141669863224,3,0.3310858441371476
"INF109K01BL4,INF966L01614|INF109K01BL4=0.0000,INF966L01614=1.0000",within_observed_terrain,0.0796141669863224,3,0.5077290294589674
"INF109K01BL4,INF966L01614|INF109K01BL4=0.0500,INF966L01614=0.9500",within_observed_terrain,0.0796141669863224,3,0.5058937251094622
"INF109K01BL4,INF966L01614|INF109K01BL4=0.1000,INF966L01614=0.9000",within_observed_terrain,0.0796141669863224,3,0.5038991280029643
"INF109K01BL4,INF966L01614|INF109K01BL4=0.1500,INF966L01614=0.8500",within_observed_terrain,0.0796141669863224,3,0.5017235428912186
"INF109K01BL4,INF966L01887|INF109K01BL4=0.0000,INF966L01887=1.0000",within_observed_terrain,0.0796141669863224,3,0.5003062962150486
"INF109K01BL4,INF966L01887|INF109K01BL4=0.0500,INF966L01887=0.9500",within_observed_terrain,0.0796141669863224,3,0.4949322816352828
"INF109K01BL4,INF966L01887|INF109K01BL4=0.1000,INF966L01887=0.9000",within_observed_terrain,0.0796141669863224,3,0.48935088733005006
"INF109K01BL4,INF966L01887|INF109K01BL4=0.1500,INF966L01887=0.8500",within_observed_terrain,0.0796141669863224,3,0.4835495417967757
"INF109K01BL4,INF966L01887|INF109K01BL4=0.2000,INF966L01887=0.8000",within_observed_terrain,0.0796141669863224,3,0.477514606529613
"INF109K01BL4,INF966L01887|INF109K01BL4=0.2500,INF966L01887=0.7500",within_observed_terrain,0.0796141669863224,3,0.4712312569189867
"INF109K01BL4,INF966L01887|INF109K01BL4=0.3000,INF966L01887=0.7000",within_observed_terrain,0.0796141669863224,3,0.464683346348596
