composition
"INF174K01LS2,INF879O01027|INF174K01LS2=0.0000,INF879O01027=1.0000"
"INF174K01LT0,INF879O01027|INF174K01LT0=0.0000,INF879O01027=1.0000"
"INF663L01DV3,INF879O01100|INF663L01DV3=0.0000,INF879O01100=1.0000"
"INF879O01027,INF966L01614|INF879O01027=1.0000,INF966L01614=0.0000"
"INF879O01027,INF966L01689|INF879O01027=0.9500,INF966L01689=0.0500"
"INF879O01027,INF966L01689|INF879O01027=1.0000,INF966L01689=0.0000"
"INF879O01027,INF966L01887|INF879O01027=0.8500,INF966L01887=0.1500"
"INF879O01027,INF966L01887|INF879O01027=0.9000,INF966L01887=0.1000"
"INF879O01027,INF966L01887|INF879O01027=0.9500,INF966L01887=0.0500"
"INF879O01027,INF966L01887|INF879O01027=1.0000,INF966L01887=0.0000"
"INF879O01027,INF966L01911|INF879O01027=1.0000,INF966L01911=0.0000"
"INF879O01027,INF966L01986|INF879O01027=1.0000,INF966L01986=0.0000"
"INF109K01BL4,INF174K01LT0,INF879O01027|INF109K01BL4=0.0000,INF174K01LT0=0.0000,INF879O01027=1.0000"
"INF109K01BL4,INF663L01DV3,INF879O01100|INF109K01BL4=0.0000,INF663L01DV3=0.0000,INF879O01100=1.0000"
"INF109K01BL4,INF879O01027,INF966L01614|INF109K01BL4=0.0000,INF879O01027=1.0000,INF966L01614=0.0000"
"INF109K01BL4,INF879O01027,INF966L01689|INF109K01BL4=0.0000,INF879O01027=0.9500,INF966L01689=0.0500"
"INF109K01BL4,INF879O01027,INF966L01689|INF109K01BL4=0.0000,INF879O01027=1.0000,INF966L01689=0.0000"
"INF109K01BL4,INF879O01027,INF966L01689|INF109K01BL4=0.0500,INF879O01027=0.9000,INF966L01689=0.0500"
"INF109K01BL4,INF879O01027,INF966L01887|INF109K01BL4=0.0000,INF879O01027=0.8500,INF966L01887=0.1500"
"INF109K01BL4,INF879O01027,INF966L01887|INF109K01BL4=0.0000,INF879O01027=0.9000,INF966L01887=0.1000"
"INF109K01BL4,INF879O01027,INF966L01887|INF109K01BL4=0.0000,INF879O01027=0.9500,INF966L01887=0.0500"
"INF109K01BL4,INF879O01027,INF966L01887|INF109K01BL4=0.0000,INF879O01027=1.0000,INF966L01887=0.0000"
"INF109K01BL4,INF879O01027,INF966L01887|INF109K01BL4=0.0500,INF879O01027=0.8500,INF966L01887=0.1000"
"INF109K01BL4,INF879O01027,INF966L01887|INF109K01BL4=0.0500,INF879O01027=0.9000,INF966L01887=0.0500"
"INF109K01BL4,INF879O01027,INF966L01887|INF109K01BL4=0.1000,INF879O01027=0.8500,INF966L01887=0.0500"
"INF109K01BL4,INF879O01027,INF966L01911|INF109K01BL4=0.0000,INF879O01027=1.0000,INF966L01911=0.0000"
"INF109K01BL4,INF879O01027,INF966L01986|INF109K01BL4=0.0000,INF879O01027=1.0000,INF966L01986=0.0000"
"INF174K01187,INF663L01DV3,INF879O01100|INF174K01187=0.0000,INF663L01DV3=0.0000,INF879O01100=1.0000"
"INF174K01KT2,INF663L01DV3,INF879O01100|INF174K01KT2=0.0000,INF663L01DV3=0.0000,INF879O01100=1.0000"
"INF174K01KT2,INF879O01027,INF966L01689|INF174K01KT2=0.0000,INF879O01027=0.9500,INF966L01689=0.0500"
"INF174K01KT2,INF879O01027,INF966L01689|INF174K01KT2=0.0000,INF879O01027=1.0000,INF966L01689=0.0000"
"INF174K01KT2,INF879O01027,INF966L01986|INF174K01KT2=0.0000,INF879O01027=1.0000,INF966L01986=0.0000"
"INF174K01LS2,INF174K01LT0,INF879O01027|INF174K01LS2=0.0000,INF174K01LT0=0.0000,INF879O01027=1.0000"
"INF174K01LS2,INF663L01DV3,INF879O01100|INF174K01LS2=0.0000,INF663L01DV3=0.0000,INF879O01100=1.0000"
"INF174K01LS2,INF879O01027,INF966L01614|INF174K01LS2=0.0000,INF879O01027=1.0000,INF966L01614=0.0000"
"INF174K01LS2,INF879O01027,INF966L01689|INF174K01LS2=0.0000,INF879O01027=0.9500,INF966L01689=0.0500"
"INF174K01LS2,INF879O01027,INF966L01689|INF174K01LS2=0.0000,INF879O01027=1.0000,INF966L01689=0.0000"
"INF174K01LS2,INF879O01027,INF966L01689|INF174K01LS2=0.0500,INF879O01027=0.9000,INF966L01689=0.0500"
"INF174K01LS2,INF879O01027,INF966L01887|INF174K01LS2=0.0000,INF879O01027=0.8500,INF966L01887=0.1500"
"INF174K01LS2,INF879O01027,INF966L01887|INF174K01LS2=0.0000,INF879O01027=0.9000,INF966L01887=0.1000"
"INF174K01LS2,INF879O01027,INF966L01887|INF174K01LS2=0.0000,INF879O01027=0.9500,INF966L01887=0.0500"
"INF174K01LS2,INF879O01027,INF966L01887|INF174K01LS2=0.0000,INF879O01027=1.0000,INF966L01887=0.0000"
"INF174K01LS2,INF879O01027,INF966L01887|INF174K01LS2=0.0500,INF879O01027=0.8500,INF966L01887=0.1000"
"INF174K01LS2,INF879O01027,INF966L01887|INF174K01LS2=0.0500,INF879O01027=0.9000,INF966L01887=0.0500"
"INF174K01LS2,INF879O01027,INF966L01887|INF174K01LS2=0.1000,INF879O01027=0.8000,INF966L01887=0.1000"
"INF174K01LS2,INF879O01027,INF966L01887|INF174K01LS2=0.1000,INF879O01027=0.8500,INF966L01887=0.0500"
"INF174K01LS2,INF879O01027,INF966L01887|INF174K01LS2=0.1500,INF879O01027=0.8000,INF966L01887=0.0500"
"INF174K01LS2,INF879O01027,INF966L01911|INF174K01LS2=0.0000,INF879O01027=1.0000,INF966L01911=0.0000"
"INF174K01LS2,INF879O01027,INF966L01986|INF174K01LS2=0.0000,INF879O01027=1.0000,INF966L01986=0.0000"
"INF174K01LT0,INF663L01DV3,INF879O01100|INF174K01LT0=0.0000,INF663L01DV3=0.0000,INF879O01100=1.0000"
"INF174K01LT0,INF879O01027,INF879O01100|INF174K01LT0=0.0500,INF879O01027=0.2500,INF879O01100=0.7000"
"INF174K01LT0,INF879O01027,INF879O01100|INF174K01LT0=0.0500,INF879O01027=0.3000,INF879O01100=0.6500"
