team,members
INF174K01KT2,1
INF174K01LT0,1
INF769K01DM9,1
INF846K01K35,1
INF879O01027,1
INF879O01100,1
INF966L01614,1
INF966L01689,1
INF966L01887,1
INF966L01986,1
INF109K01BL4|INF879O01100,2
INF109K01BL4|INF966L01614,2
INF109K01BL4|INF966L01887,2
INF174K01187|INF879O01100,2
INF174K01KT2|INF174K01LT0,2
INF174K01KT2|INF879O01100,2
INF174K01KT2|INF966L01986,2
INF174K01LS2|INF174K01LT0,2
INF174K01LS2|INF846K01K35,2
INF174K01LS2|INF879O01027,2
INF174K01LS2|INF879O01100,2
INF174K01LS2|INF966L01614,2
INF174K01LS2|INF966L01689,2
INF174K01LS2|INF966L01887,2
INF174K01LT0|INF769K01DM9,2
INF174K01LT0|INF846K01K35,2
INF174K01LT0|INF879O01027,2
INF174K01LT0|INF879O01100,2
INF174K01LT0|INF966L01689,2
INF174K01LT0|INF966L01887,2
INF174K01LT0|INF966L01911,2
INF174K01LT0|INF966L01986,2
INF179K01426|INF879O01100,2
INF179K01608|INF879O01100,2
INF663L01DV3|INF769K01DM9,2
INF663L01DV3|INF846K01K35,2
INF663L01DV3|INF879O01027,2
INF663L01DV3|INF879O01100,2
INF663L01DV3|INF966L01614,2
INF663L01DV3|INF966L01689,2
INF663L01DV3|INF966L01887,2
INF663L01DV3|INF966L01986,2
INF769K01DM9|INF846K01K35,2
INF769K01DM9|INF879O01027,2
INF769K01DM9|INF879O01100,2
INF769K01DM9|INF966L01614,2
INF769K01DM9|INF966L01689,2
INF769K01DM9|INF966L01887,2
INF769K01DM9|INF966L01911,2
INF769K01DM9|INF966L01986,2
INF846K01K35|INF879O01027,2
INF846K01K35|INF879O01100,2
INF846K01K35|INF966L01614,2
INF846K01K35|INF966L01689,2
INF846K01K35|INF966L01887,2
INF846K01K35|INF966L01911,2
INF846K01K35|INF966L01986,2
INF879O01027|INF879O01100,2
INF879O01027|INF966L01614,2
INF879O01027|INF966L01689,2
INF879O01027|INF966L01887,2
INF879O01027|INF966L01911,2
INF879O01027|INF966L01986,2
INF879O01100|INF966L01614,2
INF879O01100|INF966L01689,2
INF879O01100|INF966L01887,2
INF879O01100|INF966L01911,2
INF879O01100|INF966L01986,2
INF966L01614|INF966L01689,2
INF966L01614|INF966L01887,2
INF966L01614|INF966L01986,2
INF966L01689|INF966L01887,2
INF966L01689|INF966L01911,2
INF966L01689|INF966L01986,2
INF966L01887|INF966L01911,2
INF966L01887|INF966L01986,2
INF966L01911|INF966L01986,2
INF109K01BL4|INF174K01187|INF879O01100,3
INF109K01BL4|INF174K01KT2|INF879O01100,3
INF109K01BL4|INF174K01LS2|INF879O01100,3
INF109K01BL4|INF174K01LS2|INF966L01614,3
INF109K01BL4|INF174K01LT0|INF879O01027,3
INF109K01BL4|INF174K01LT0|INF879O01100,3
INF109K01BL4|INF174K01LT0|INF966L01689,3
INF109K01BL4|INF179K01426|INF879O01100,3
INF109K01BL4|INF179K01608|INF879O01100,3
INF109K01BL4|INF663L01DV3|INF879O01100,3
INF109K01BL4|INF663L01DV3|INF966L01689,3
INF109K01BL4|INF769K01DM9|INF879O01027,3
INF109K01BL4|INF769K01DM9|INF879O01100,3
INF109K01BL4|INF769K01DM9|INF966L01614,3
INF109K01BL4|INF846K01K35|INF879O01100,3
INF109K01BL4|INF846K01K35|INF966L01689,3
INF109K01BL4|INF879O01027|INF879O01100,3
INF109K01BL4|INF879O01027|INF966L01614,3
INF109K01BL4|INF879O01027|INF966L01689,3
INF109K01BL4|INF879O01027|INF966L01887,3
INF109K01BL4|INF879O01027|INF966L01911,3
INF109K01BL4|INF879O01027|INF966L01986,3
INF109K01BL4|INF879O01100|INF966L01614,3
INF109K01BL4|INF879O01100|INF966L01689,3
INF109K01BL4|INF879O01100|INF966L01887,3
INF109K01BL4|INF879O01100|INF966L01911,3
INF109K01BL4|INF879O01100|INF966L01986,3
INF109K01BL4|INF966L01614|INF966L01689,3
INF109K01BL4|INF966L01614|INF966L01887,3
INF109K01BL4|INF966L01689|INF966L01986,3
INF109K01BL4|INF966L01887|INF966L01911,3
INF109K01BL4|INF966L01887|INF966L01986,3
INF174K01187|INF174K01KT2|INF879O01100,3
INF174K01187|INF174K01LS2|INF879O01100,3
INF174K01187|INF174K01LT0|INF879O01100,3
